"","Acc_Index","Vehicle_Reference","Vehicle_Type","Towing_and_Articulation","Vehicle_Manoeuvre","Vehicle_Location.Restricted_Lane","Junction_Location","Skidding_and_Overturning","Hit_Object_in_Carriageway","Vehicle_Leaving_Carriageway","Hit_Object_off_Carriageway","X1st_Point_of_Impact","Was_Vehicle_Left_Hand_Drive","Journey_Purpose_of_Driver","Sex_of_Driver","Age_Band_of_Driver","Engine_Capacity_.CC.","Propulsion_Code","Age_of_Vehicle","Driver_IMD_Decile","Driver_Home_Area_Type"
"1320","201001CP00071",2,1,0,18,0,8,0,0,0,0,1,1,2,2,6,-1,-1,-1,2,1
"1321","201001CP00072",1,1,0,18,0,8,0,0,0,0,1,1,2,1,6,-1,-1,-1,2,1
"1322","201001CP00073",1,3,0,9,0,8,1,0,0,0,4,1,2,1,5,85,1,19,3,1
"1323","201001CP00073",2,5,0,9,0,8,0,0,0,0,3,1,1,1,7,599,1,3,2,1
"1324","201001CP00074",1,9,0,11,0,8,0,0,0,0,4,1,15,2,5,1497,1,10,3,1
"1325","201001CP00074",2,1,0,18,0,8,0,10,0,0,3,1,15,1,9,-1,-1,-1,8,1
"1326","201001CP00075",1,1,0,4,0,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,6,1
"1327","201001CP00075",2,21,1,4,0,8,0,0,0,0,2,1,15,3,-1,-1,-1,-1,-1,-1
"1328","201001CP00077",1,3,0,14,0,1,0,0,0,0,1,1,2,1,6,125,1,-1,6,1
"1329","201001CP00078",1,9,0,3,0,1,0,0,0,0,2,1,15,1,6,1988,2,6,5,1
"1330","201001CP00078",2,20,1,4,0,1,0,0,0,0,1,1,1,1,7,-1,-1,-1,4,1
"1331","201001CP00079",1,1,0,18,0,2,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
"1332","201001CP00080",1,11,0,5,0,2,0,0,0,0,3,1,1,1,6,5883,2,9,1,1
"1333","201001CP00080",2,3,0,13,0,2,0,0,0,0,1,1,1,1,6,124,1,4,6,1
"1334","201001CP00081",1,19,0,4,0,8,0,0,0,0,2,1,1,1,4,-1,-1,-1,1,1
"1335","201001CP00081",2,8,0,18,0,8,0,0,0,0,1,1,1,3,-1,2402,2,7,-1,-1
"1336","201001CP00082",1,1,0,18,0,8,0,0,0,0,1,1,15,3,-1,-1,-1,-1,-1,-1
"1337","201001CP00083",1,8,0,18,0,1,0,0,0,0,1,1,2,1,9,1598,1,4,2,1
"1338","201001CP00083",2,5,0,4,0,1,0,0,0,0,2,1,2,1,9,599,1,2,9,3
"1339","201001CP00084",1,8,0,3,0,1,0,0,0,0,2,1,1,1,9,2499,2,3,10,1
"1340","201001CP00084",2,11,0,18,0,1,0,0,0,0,1,1,1,1,8,9360,2,1,7,1
"1341","201001CP00085",1,5,0,4,0,8,0,0,0,0,2,1,15,2,7,600,1,5,2,1
"1342","201001CP00085",2,1,0,18,0,8,0,0,0,0,1,1,15,1,6,-1,-1,-1,3,1
"1343","201001CP00086",1,9,0,3,0,0,0,0,0,0,2,1,1,1,9,1796,1,1,10,2
"1344","201001CP00086",2,3,0,18,0,0,0,0,0,0,1,1,1,2,6,49,1,6,6,1
"1345","201001CP00087",1,11,0,4,0,8,0,0,0,0,0,1,1,1,7,6692,2,1,2,1
"1346","201001CP00088",1,1,0,15,4,8,0,0,0,0,1,1,15,1,8,-1,-1,-1,9,1
"1347","201001CP00088",2,8,0,3,0,8,0,0,0,0,4,1,1,3,-1,-1,-1,-1,-1,-1
"1348","201001CP00089",1,9,0,18,0,8,0,0,0,0,1,1,15,1,4,1797,1,11,2,1
"1349","201001CP00089",2,19,0,9,0,8,0,0,0,0,2,1,15,1,7,2148,2,4,3,1
"1350","201001CP00090",1,90,0,14,0,0,0,0,0,0,4,1,15,1,7,-1,-1,-1,6,1
